Period,Org,Org Country,Via,Dst,Dst Country,Mkt Car,Stops,Seats,Miles,Blktm,Departures,Seats_total,Remove,ASMs
2015,AEP,AR,"",IGR,AR,LA,0,156,652,110,1207,188226,,122723352
2015,AEP,AR,"",IRJ,AR,AR,0,96,607,115,306,29376,,17831232
2015,AEP,AR,CTC,IRJ,AR,AR,1,96,607,180,7,672,,407904
2015,AEP,AR,"",JUJ,AR,AR,0,110,808,135,1035,113372,,91604576
2015,AEP,AR,"",LGS,AR,AR,0,122,634,130,8,976,,618784
2015,AEP,AR,"",LUQ,AR,8R,0,34,464,131,151,5134,,2382176
2015,AEP,AR,VME,LUQ,AR,8R,1,34,464,156,33,1122,,520608
2015,AEP,AR,"",LUQ,AR,AR,0,96,464,95,480,46236,,21453504
2015,AEP,AR,AFA,LUQ,AR,AR,1,96,464,192,6,576,,267264
2015,AEP,AR,"",MDQ,AR,8R,0,34,238,65,364,12376,,2945488
2015,AEP,AR,"",MDQ,AR,AR,0,115,238,60,1002,115058,,27383804
2015,AEP,AR,VDM,MDQ,AR,AR,1,96,238,191,146,14016,,3335808
2015,AEP,AR,"",MDZ,AR,AR,0,131,608,110,2941,385506,,234387648
2015,AEP,AR,"",MDZ,AR,LA,0,156,608,115,1190,185562,,112821696
2015,AEP,AR,UAQ,MDZ,AR,LA,1,156,608,190,246,38364,,23325312
2015,AEP,AR,"",NCJ,AR,MCJ,0,19,307,71,184,3496,,1073272
2015,AEP,AR,"",NQN,AR,AR,0,149,618,114,1782,266376,,164620368
2015,AEP,AR,"",NQN,AR,LA,0,156,618,120,1089,169812,,104943816
2015,AEP,AR,"",PMY,AR,OY,0,165,671,110,215,35475,,23803725
2015,AEP,AR,"",PRA,AR,AR,0,96,225,60,272,26112,,5875200
2015,AEP,AR,"",PSS,AR,AR,0,133,515,90,931,123800,,63757000
2015,AEP,AR,"",RCQ,AR,MCJ,0,19,377,95,13,247,,93119
2015,AEP,AR,NCJ,RCQ,AR,MCJ,1,19,377,130,153,2907,,1095939
2015,AEP,AR,"",REL,AR,AR,0,132,701,120,865,114576,,80317776
2015,AEP,AR,VDM,REL,AR,AR,1,96,701,195,172,16512,,11574912
2015,AEP,AR,"",RES,AR,AR,0,136,491,87,1161,158200,,77676200
2015,AEP,AR,"",RGA,AR,AR,0,148,1402,210,604,89132,,124963064
2015,AEP,AR,"",RGL,AR,AR,0,134,1296,194,1099,147144,,190698624
2015,AEP,AR,USH,RGL,AR,AR,1,146,1296,320,35,5120,,6635520
2015,AEP,AR,"",RGL,AR,LA,0,156,1296,200,216,33678,,43646688
2015,AEP,AR,"",RHD,AR,AR,0,127,621,115,110,13956,,8666676
2015,AEP,AR,"",RLO,AR,8R,0,34,418,100,81,2754,,1151172
2015,AEP,AR,LUQ,RLO,AR,8R,1,34,418,190,17,578,,241604
2015,AEP,AR,"",ROS,AR,8R,0,34,178,54,838,28492,,5071576
2015,AEP,AR,"",ROS,AR,AR,0,96,178,55,344,33024,,5878272
2015,AEP,AR,"",RSA,AR,AR,0,96,358,80,280,26880,,9623040
2015,AEP,AR,MDQ,RSA,AR,AR,1,96,358,183,79,7584,,2715072
2015,AEP,AR,"",SDE,AR,AR,0,110,584,105,405,44496,,25985664
2015,AEP,AR,"",SFN,AR,8R,0,34,240,69,589,20026,,4806240
2015,AEP,AR,"",SFN,AR,AR,0,96,240,60,291,27936,,6704640
2015,AEP,AR,ROS,SFN,AR,AR,1,96,240,123,1,96,,23040
2015,AEP,AR,"",SLA,AR,AR,0,144,792,135,2047,295284,,233864928
2015,AEP,AR,"",SLA,AR,LA,0,156,792,140,945,147348,,116699616
