Period,Org,Dst,Mkt Car,Stops,Seats,Miles,Blktm,Departures,Seats,Remove,ASMs
2015,BPS,CGH,AD,0,118,698,124,43,5074,,3541652
2015,BPS,CGH,G3,0,166,698,114,78,12974,,9055852
2015,BPS,CGH,JJ,0,144,698,126,11,1584,,1105632
2015,BPS,CNF,AD,0,117,390,76,563,65642,,25600380
2015,BPS,CNF,G3,0,167,390,83,741,123838,,48296820
2015,BPS,CNF,JJ,0,163,390,71,417,67954,,26502060
2015,BPS,CWB,AD,0,107,903,160,20,2132,,1925196
2015,BPS,EZE,AR,0,170,1748,275,23,3910,,6834680
2015,BPS,GIG,G3,0,164,516,93,4,654,,337464
2015,BPS,GRU,AD,0,118,680,123,74,8732,,5937760
2015,BPS,GRU,G3,0,167,680,128,700,116738,,79381840
2015,BPS,GRU,JJ,0,166,680,122,667,110742,,75304560
2015,BPS,GYN,AD,0,109,672,118,7,766,,514752
2015,BPS,PLU,2Z,0,72,397,112,34,2448,,971856
2015,BPS,POA,G3,0,170,1208,185,7,1190,,1437520
2015,BPS,PPB,AD,0,106,896,139,40,4252,,3809792
2015,BPS,RAO,AD,0,118,654,117,57,6714,,4390956
2015,BPS,RAO,G3,0,170,654,150,4,680,,444720
2015,BPS,SDU,AD,0,106,519,107,115,12190,,6326610
2015,BPS,SDU,G3,0,144,519,100,2,288,,149472
2015,BPS,SJP,AD,0,106,740,119,5,530,,392200
2015,BPS,SSA,2Z,0,72,249,58,35,2520,,627480
2015,BPS,SSA,AD,0,73,249,76,662,48452,,12064548
2015,BPS,SSA,G3,0,170,249,60,72,12240,,3047760
2015,BPS,UDI,AD,0,115,625,115,48,5520,,3450000
2015,BPS,UDI,G3,0,144,625,105,1,144,,90000
2015,BPS,VCP,AD,0,116,692,118,224,25952,,17958784
2015,BPS,VCP,G3,0,170,692,116,20,3400,,2352800
2015,BPS,VIX,AD,0,70,275,85,4,280,,77000
2015,BRA,BSB,2Z,0,72,327,87,581,41832,,13679064
2015,BRA,BSB,AD,0,70,327,92,216,15120,,4944240
2015,BRA,CNF,AD,0,70,527,139,94,6580,,3467660
2015,BRA,SSA,2Z,0,72,454,116,537,38664,,17553456
2015,BRA,SSA,AD,0,70,454,117,212,14840,,6737360
2015,BRC,AEP,AR,0,155,829,123,2090,324132,,268705428
2015,BRC,AEP,LA,0,156,829,119,1320,205764,,170578356
2015,BRC,COR,AR,0,125,782,128,18,2248,,1757936
2015,BRC,EZE,AR,0,160,812,125,521,83122,,67495064
2015,BRC,EZE,LA,0,155,812,119,46,7152,,5807424
2015,BRC,FTE,AR,0,166,631,105,199,32972,,20805332
2015,BRC,GRU,AR,0,170,1879,255,5,850,,1597150
2015,BRC,ROS,AR,0,130,805,140,317,41144,,33120920
2015,BRM,AUA,8I,0,150,175,60,12,1800,,315000
2015,BRM,CCS,R7,0,150,165,40,913,136950,,22596750
2015,BRM,CCS,V0,0,98,165,40,208,20384,,3363360
2015,BRM,CCS,VH,0,130,165,45,729,94770,,15637050
2015,BRM,CUR,7I,0,134,150,48,299,40020,,6003000
2015,BRM,CUR,8I,0,150,150,60,1,150,,22500
2015,BRM,PMV,V0,0,98,370,70,208,20384,,7542080
2015,BSB,AJU,G3,0,170,802,105,6,1020,,818040
2015,BSB,AJU,JJ,0,164,802,124,279,45844,,36766888
2015,BSB,AJU,O6,0,124,802,136,363,45018,,36104436
2015,BSB,ATL,DL,0,209,4178,531,241,50425,,210675650
2015,BSB,ATM,G3,0,144,919,135,277,39888,,36657072
2015,BSB,AUX,2Z,0,72,597,169,239,17208,,10273176
2015,BSB,AUX,AD,0,70,597,150,4,280,,167160
2015,BSB,BEL,G3,0,169,1002,144,1034,175156,,175506312
2015,BSB,BEL,JJ,0,169,1002,152,1105,186652,,187025304
2015,BSB,BPS,G3,0,170,588,100,8,1360,,799680
2015,BSB,BPS,JJ,0,166,588,109,242,40272,,23679936
2015,BSB,BRA,2Z,0,72,327,89,580,41760,,13655520
2015,BSB,BRA,AD,0,70,327,100,216,15120,,4944240
2015,BSB,BVB,G3,0,144,1558,225,2,288,,448704
2015,BSB,BVB,JJ,0,165,1558,226,263,43386,,67595388
2015,BSB,CDG,AF,0,240,5436,640,155,37221,,202333356
2015,BSB,CGB,AD,0,118,545,112,380,44840,,24437800
2015,BSB,CGB,G3,0,168,545,102,809,136048,,74146160
2015,BSB,CGB,JJ,0,165,545,101,948,156492,,85288140
2015,BSB,CGB,O6,0,119,545,105,354,41976,,22876920
2015,BSB,CGH,G3,0,164,541,96,4004,657020,,355447820
2015,BSB,CGH,JJ,0,159,541,101,4034,640500,,346510500
2015,BSB,CGH,O6,0,150,541,107,1758,263328,,142460448
2015,BSB,CGR,G3,0,165,544,112,308,50852,,27663488
2015,BSB,CGR,JJ,0,164,544,101,396,64834,,35269696
2015,BSB,CGR,O6,0,122,544,109,353,43172,,23485568
2015,BSB,CNF,AD,0,116,367,84,1289,149522,,54874574
2015,BSB,CNF,G3,0,163,367,79,1657,269990,,99086330
2015,BSB,CNF,JJ,0,160,367,75,1609,258244,,94775548
2015,BSB,CNF,O6,0,100,367,74,1,100,,36700
2015,BSB,CWB,G3,0,160,671,127,767,122954,,82502134
